name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Dragon,Steel,Sit Down,60,16,,0,Zierer,Legoland Dubai,operating
Dragon,Steel,Sit Down,77,20,821,3,Arrow,Ocean Park,operating
Dragon,na,Sit Down,,,,,Zamperla,Geroland,operating
Dragon,na,Sit Down,,,,,Zierer,Legoland Malaysia,operating
Dragon,na,Sit Down,,,,,na,Djanat Al Ahlam,operating
Dragonfire,Steel,Sit Down,0,60,0,0,Premier Rides,Adventure Island,operating
Dragão,na,Sit Down,,,,,Zamperla,Mirabilandia Olinda,operating
Draken Achtbaan,Steel,Sit Down,,,,0,na,Speelpark Oud Valkeveen,construction
Draken,Steel,Sit Down,,6,135,0,Preston & Barbieri,Energylandia,construction
Draken,Steel,Sit Down,,63,,,B&M,Gyeongju World,operating
Drakkar Express,Steel,Sit Down,,,,0,Soquet,Festyland,operating
Drakkar,Steel,Sit Down,,,,0,Soquet,Didiland,operating
Drako,Steel,Sit Down,32,6,199,0,Zierer,Walibi Holland,operating
Dream Factory,na,Sit Down,45,0,530,0,Zamperla,Wuxi Sunac Land,construction
Dream Hunters Society,Steel,Sit Down,,,,0,na,Legendia,operating
Dream catcher,Steel,Suspended,45,25,600,0,Vekoma,Bobbejaanland,operating
Dream coaster,Steel,Sit Down,70,25,385,3,Maurer,Dream City,operating
Drehgondelbahn,Steel,Spinning,,,,0,Zierer,Freizeit-Land Geiselwind,operating
Dubai Drone,Steel,Spinning,,13,380,0,Gerstlauer,VR Park,operating
Dum-Dum,Steel,Sit Down,,,,0,Beto Carrero World,Beto Carrero World,operating
Dynamite Express,Steel,Sit Down,,11,262,0,Mack,Drievliet Family Park,operating
Dynamite,Steel,Sit Down,100,44,500,3,Mack,Freizeitpark Plohn,operating
Dæmonen,Steel,Floorless,77,28,564,3,B&M,Tivoli Gardens,operating
Déjà Vu,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags Great America,closed definitely
Déjà Vu,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags Magic Mountain,relocated
Déjà Vu,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags Over Georgia,closed definitely
Déval' Train,Steel,Sit Down,35,9,207,0,Vekoma,Parc des Combes,operating
Dönen Kizak,na,Sit Down,47,,420,0,Levent Lunapark,Wonderland Eurasia,construction
E-Powered,Steel,na,,,,0,na,Daqing Oilfield Paradise,operating
Eagle Fortress,Steel,Suspended,,,,0,Arrow,Everland,closed definitely
Eden Rail,Steel,Sit Down,,,,0,S.D.C.,Magic Park Land,closed definitely
Ednör,Steel,Inverted,80,34,689,5,Vekoma,La Ronde,operating
Eejanaika,Steel,4th Dimension,126,76,1153,2,S&S,Fuji-Q Highland,operating
Eichhörnchenbahn,Steel,Sit Down,30,5,128,0,Zierer,Freizeitpark Lochmühle,operating
Eifel Blitz,Steel,Sit Down,,,,0,DAL,Eifelpark,operating
Eifel-Coaster,Steel,Alpine,,,765,0,Wiegand,Eifelpark,operating
Ejderha Uçuşu,Steel,Sit Down,40,10,190,0,Zierer,Wonderland Eurasia,operating
El Condor,Steel,Inverted,80,31,662,5,Vekoma,Walibi Holland,operating
El Diablo,Steel,Sit Down,,17,1008,0,Arrow,Port Aventura,operating
El Loco,Steel,Sit Down,,,,0,S&S,Adventuredome,operating
El Paso-Express,Steel,Sit Down,,10,,0,Schwarzkopf,Hansa Park,closed definitely
El Toro,Wooden,Sit Down,113,55,1341,0,Intamin,Six Flags Great Adventure,operating
El Toro,Wooden,Sit Down,75,28,750,0,GCI,Freizeitpark Plohn,operating
Eldorado,Steel,Sit Down,,,,0,na,Etnaland,operating
Electric Eel,Steel,Sit Down,100,46,263,1,Premier Rides,SeaWorld San Diego,operating
Eleventh Roller Coaster,Steel,Sit Down,,,1050,11,Hebei Zhongye,Great Xingdong Tourist World,construction
Elf,Steel,Sit Down,58,19,695,0,Intamin,Hirakata Park,operating
Elliott,Steel,Sit Down,,,,0,na,Foire,unknown
En avant Seccotine,Steel,Sit Down,,,,0,Zierer,Parc Spirou,operating
Energuś Roller Coaster,Steel,Sit Down,46,13,335,0,Vekoma,Energylandia,operating
Enigma,Steel,Sit Down,55,16,530,0,Schwarzkopf,Pleasurewood Hills,operating
EqWalizer,Steel,Sit Down,76,36,285,3,Vekoma,Walibi Rhône Alpes,operating
Escape from Madagascar,na,Suspended,42,15,342,0,Vekoma,Dreamworld,operating
Eureka Mountain Mine Ride,Steel,Sit Down,48,12,,0,HyFab,Dreamworld,closed definitely
Euro Coaster,Steel,Suspended,43,16,370,0,Reverchon,Foire,operating
Euro Express,na,Sit Down,80,30,560,2,Intamin,Romon U-Park,operating
Euro Loop,Steel,Sit Down,65,30,,4,Vekoma,Europark,operating
Euro Mir,Steel,Spinning,80,28,980,0,Mack,Europa Park,operating
Euro Speed,Steel,Sit Down,,,,0,Mack,Europark,operating
Eurofighter,Steel,Sit Down,,22,72,2,Gerstlauer,Zoosafari Fasanolandia,operating
Eurosat,Steel,Sit Down,60,26,877,0,Mack,Europa Park,retracked
Eurostar,Steel,Inverted,80,30,800,4,Intamin,Foire,relocated
Eurostar,Steel,Inverted,80,30,800,4,Intamin,Gorky Park,closed definitely
Excalibur,Hybrid,Sit Down,88,31,736,,Arrow,Valleyfair,operating
Excalibur,na,Sit Down,89,31,823,0,CCI,Funtown Splashtown USA,operating
Expedition Everest,Steel,Sit Down,80,34,1341,0,Vekoma,Disney's Animal Kingdom,operating
Expedition Ge Force,Steel,Sit Down,120,53,1220,0,Intamin,Holiday Park,operating
Expedition of Volcano,na,Sit Down,,,,,na,Happy Valley Tianjin,operating
Express,Steel,Sit Down,,,,0,Soquet,Fraispertuis City,relocated
Exterminator,Steel,Sit Down,47,13,420,0,Reverchon,Kennywood,operating
Extrem,Steel,Spinning,,,,0,Maurer,Foire,closed definitely
Extreme Rusher,Steel,Sit Down,134,60,850,0,S&S,Happy Valley Beijing,operating
Extreme,Steel,Sit Down,,,,0,na,Foire,operating
F.L.Y,Steel,Flying,,,,0,Vekoma,Phantasialand,construction
F2 Fright Flight,Steel,Inverted,80,33,689,5,Vekoma,Nasu Highland Park,operating
Fahrenheit,Steel,Sit Down,93,37,823,6,Intamin,Hersheypark,operating
Fairly Odd Coaster,Steel,Spinning,50,17,410,0,Gerstlauer,Nickelodeon Universe,operating
Falcon,Steel,Sit Down,,22,320,2,Gerstlauer,Duinrell,operating
Falcon,na,Wing,118,60,1278,4,B&M,Wuxi Sunac Land,operating
Falken,Steel,Sit Down,75,20,622,0,S&S,Farup Sommerland,operating
Fami'Stéric,Steel,Sit Down,,,,0,Pinfari,Fami P.A.R.C,closed definitely
Familie Achtbaan,Steel,Sit Down,,,,0,Zamperla,Familiepretpark Mini Mundi,operating
Familieachtbaan,Steel,Sit Down,,14,,0,Abc rides,BillyBird Park Hemelrijk,operating
Familienachterbahn,na,Sit Down,,,,,Zierer,Schloss Beck Freizeitpark,operating
Family Adventure,Steel,Sit Down,46,13,335,0,Vekoma,Mirabilandia,closed definitely
Family Banana Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Yokohama Cosmoworld,operating
Family Coaster,Steel,Sit Down,,,,0,D.P.V. Rides,Holly Park,closed definitely
Family Coaster,Steel,Sit Down,,,,0,Gerstlauer,The Land of Legends,operating
Family Coaster,Steel,Sit Down,,,,0,Güven Lunapark,Dymchurch Amusement Park,operating
Family Coaster,Steel,Sit Down,,,,0,SBF,Didiland,operating
Family Coaster,Steel,Sit Down,,3,85,0,Zamperla,Expoland,closed definitely
Family Coaster,Steel,Sit Down,,4,80,0,Zamperla,Sea Train Land,operating
Family Coaster,Steel,Sit Down,20,6,160,0,Pinfari,Parc Saint Paul,closed definitely
Family Coaster,Steel,Sit Down,70,20,580,0,Intamin,ViaSea,operating
Family Coaster,na,Sit Down,46,13,335,,Vekoma,Dream Park,operating
Family Coaster,na,Sit Down,60,20,185,,Vekoma,Happy Valley Chongqing,operating
Family Gravity Coaster,Steel,Sit Down,,,,0,Zamperla,Chimelong Paradise,closed definitely
Family Inverted Coaster,Steel,Inverted,50,20,405,0,B&M,Happy Valley Beijing,operating
Family Inverted Coaster,Steel,Inverted,50,20,405,0,B&M,Happy Valley Shanghai,operating
Family Roller Coaster,na,Sit Down,,,,,Golden Horse,Great Xingdong Tourist World,operating
Family Star,Steel,Spinning,,,,0,Fabbri,Foire,operating
Family Star,na,Sit Down,,,,,Fabbri,Great Yarmouth Pleasure Beach,operating
Family Worm,Steel,Sit Down,,,,0,SBF,Family Park Medulin,operating
Family coaster,Steel,Sit Down,,,,0,na,Walygator Parc,operating
Famous jack,Steel,Spinning,47,13,420,0,Reverchon,Bagatelle,operating
Família Expressz,Steel,Sit Down,40,7,195,0,Pinfari,Vidámpark,operating
Fantastic Coaster Rowdy,Steel,Sit Down,,,,0,Meisho Amusement Machines,Hirakata Park,operating
Fantasy Mouse (doublon),na,Spinning,,,,,Reverchon,Fantasy Island,operating
Fantasy Mouse,Steel,Sit Down,,,,0,L&T Systems,Cavallino Matto,operating
Fantasy Mouse,Steel,Sit Down,47,13,420,0,Reverchon,Fantasy Island Ingoldmells,operating
Fantasy Mouse,na,Sit Down,,,,,Reverchon,Fantasy Island Ingoldmells,closed definitely
Fast and Furry-ous,Steel,Inverted,50,18,400,0,Intamin,Warner Bros. World Abu Dhabi,operating
Feng Shen Coaster,Steel,Sit Down,80,,,1,Beijing Shibaolai,Beijing Shijingshan Amusement Park,closed definitely
Fenix,Steel,Wing,95,40,813,3,B&M,Toverland,operating
Feuer und Eis,Steel,Sit Down,,,,0,Mack,Foire,operating
Feuerdrache,Steel,Sit Down,60,16,860,0,Zierer,Legoland Deutschland,operating
Fiesta Express,Steel,Sit Down,,,,0,Zamperla,Parquesur,operating
Fiesta Express,Steel,Sit Down,,,,0,Zamperla,Wild Adventures,operating
Fiesta Express,Steel,Sit Down,,2,80,0,Zamperla,Legoland Florida,closed definitely
Figure 8,Steel,Sit Down,,,,0,T. M. Harton,Crystal Beach,closed definitely
Figure Eight,Steel,Sit Down,,,,0,na,Southport Pleasureland,unknown
Fiorano GT Challenge (Left),Steel,Sit Down,,,1000,0,Maurer,Ferrari World,operating
Fiorano GT Challenge (Right),Steel,Sit Down,,,1000,0,Maurer,Ferrari World,operating
Fire In The Hole,Steel,Sit Down,,,,0,na,Silver Dollar City,operating
FireChaser Express,Steel,Sit Down,56,,740,0,Gerstlauer,Dollywood,operating
Fireball,Steel,Sit Down,,,,1,Larson International Inc,Foire,operating
Fireball,na,Sit Down,60,23,210,,Vekoma,Furuvik,operating
Firebird,Steel,Floorless,89,31,884,2,B&M,Six Flags America,operating
Firehawk,Steel,Flying,81,35,1018,0,Vekoma,Kings Island,closed definitely
Firestorm,na,Sit Down,,,,,Vekoma,Vinpearl Land Ho Chi Minh,announced
Firewhip,na,Inverted,80,33,689,5,Vekoma,Beto Carrero World,operating
Fjord Flying Dragon,Wooden,Sit Down,87,34,1216,,Gravity Group,Happy Valley Tianjin,operating
Flagermusen,Steel,Sit Down,47,13,420,0,Reverchon,Farup Sommerland,operating
Flare Meteor,Steel,Inverted,80,38,,4,Golden Horse,FantaWild Adventure Wuhu,operating
Flash Back,Steel,Sit Down,56,26,579,0,Intamin,Six Flags Magic Mountain,closed definitely
Flash,Steel,Sit Down,115,61,1273,2,Mack,Lewa Adventure,operating
Flashback,Steel,Sit Down,75,36,267,3,Vekoma,Six Flags New England,operating
Flashback,Steel,Sit Down,75,36,267,3,Vekoma,Six flags Over Texas,closed definitely
Flashback,Steel,Sit Down,76,36,285,3,Vekoma,Great Escape,operating
Flight Deck,Steel,Inverted,80,33,989,5,Vekoma,Canada's Wonderland,operating
Flight Deck,Steel,Inverted,81,31,689,3,B&M,California's Great America,operating
Flight School,Steel,Sit Down,46,13,281,0,Zierer,Tayto Park,announced
Flight School,na,Sit Down,46,11,281,0,Zierer,Tayto Park,operating
Flight of Fear,Steel,Sit Down,87,23,825,4,Premier Rides,Kings Dominion,operating
Flight of Fear,Steel,Sit Down,87,23,825,4,Premier Rides,Kings Island,operating
Flight of the Hippogriff,Steel,Sit Down,,,300,,Mack,Universal Studios Hollywood,operating
Flight of the Hippogriff,Steel,Sit Down,,,335,,Vekoma,Universal Studios Japan,operating
Flight of the Hippogriff,Steel,Sit Down,46,13,335,0,Vekoma,Universal Studios Islands of Adventure,operating
Flight of the Phoenix,Steel,Sit Down,80,31,830,8,Intamin,Phoenix Mountain's Happy Park,operating
Flight of the Pterosaur,na,Suspended,,20,395,,Vekoma,Paultons Park,operating
Flinker Fridolin,Steel,Sit Down,53,14,,0,Zierer,Panorama Park,closed definitely
Flitzer,Steel,Sit Down,,,,0,Zierer,Crystal Beach,closed definitely
Flitzer,Steel,Sit Down,,,,0,Zierer,Morey's Piers,operating
Flitzer,Steel,Sit Down,,,,0,Zierer,Playland's Castaway Cove,closed definitely
Flitzer,Steel,Sit Down,,,,0,Zierer,Wonder Island,closed definitely
Flotte Biene,Steel,Sit Down,42,,200,0,Abc rides,Trampolino Familien- und Freizeitpark,closed definitely
Flounder's Flying Fish Coaster,Steel,Sit Down,32,,240,0,Togo,Tokyo DisneySea,operating
Fluch Von Novgorod,Steel,Sit Down,100,40,,1,Gerstlauer,Hansa Park,operating
Flug der Dämonen,Steel,Wing,100,50,772,5,B&M,Heide Park,operating
Flume Ride,Steel,Water Coaster,,30,,0,Golden Horse,E-DA Theme Park,operating
Fly Over Mediterranean,na,Sit Down,85,31,755,,Intamin,Happy Valley Chengdu,operating
Fly the Great Nor'Easter,Steel,Inverted,89,35,661,5,Vekoma,Morey's Piers,operating
Fly,Steel,Sit Down,56,16,400,0,Mack,Canada's Wonderland,operating
Flying Ace Aerial Chase,Steel,Suspended,42,15,342,0,Vekoma,Kings Island,operating
Flying Aces,Steel,Sit Down,120,63,1500,1,Intamin,Ferrari World,operating
Flying Coaster,Steel,Flying,41,15,391,2,Zamperla,Elitch Gardens,operating
Flying Coaster,Steel,Flying,41,19,390,2,Zamperla,Genting Theme Park,closed definitely
Flying Coaster,Steel,Sit Down,,4,,0,Schiff,Crystal Beach,closed definitely
Flying Coaster,na,Motorbike,,,,,Beijing Jiuhua,Sun Park,operating
Flying Cobras,Steel,Sit Down,76,36,285,3,Vekoma,Carowinds,operating
Flying Dinosaur,Steel,Flying,,38,1124,5,B&M,Universal Studios Japan,operating
Flying Dragon Coaster,na,Sit Down,,,,,Wisdom Rides,Pixieland Amusement Park,operating
Flying Dragon,na,Sit Down,,,,,na,Dam Sen Park,operating
Flying Dutchman Gold Mine,Steel,Sit Down,45,14,370,0,Mack,Walibi Holland,closed definitely
Flying Fish,Steel,Sit Down,30,6,234,0,Mack,Thorpe Park,operating
Flying Frog,Steel,Sit Down,,,,0,Zierer,Paultons Park,closed definitely
Flying School,Steel,Suspended,42,15,342,0,Vekoma,Legoland Florida,operating
Flying Super Saturator,Steel,Suspended,48,13,331,0,SetPoint,Carowinds,closed definitely
Flying Tiger,Steel,Sit Down,60,20,350,2,Vekoma,Zoo Safari Stukenbrock,operating
Flying Trapese,Steel,Sit Down,,7,,0,Zierer,Flamingo Land Theme Park and Zoo,closed definitely
Flying Turns,Wooden,Bobsleigh,39,15,396,0,Knoebels,Knoebels,operating
Flying Wing Coaster,na,Wing,,,,5,B&M,Happy Valley Chongqing,operating
Flyvende Ørn,Steel,Sit Down,46,11,280,0,Zierer,Legoland Billund,operating
Forest Slide,na,Alpine,,,560,,Wiegand,Hot Go Park,operating
Forest Train,Steel,Sit Down,,,,0,Zamperla,Adventureland,operating
Forest Trains,Steel,Sit Down,0,0,0,0,Zamperla,Gyeongnam Mason Robotland,operating
Formula 1,Steel,Spinning,,,,0,Fabbri,Foire,operating
Formula One,Steel,Spinning,47,13,420,0,Fabbri,Magic Park Land,operating
Formula Pax,Steel,Sit Down,,15,380,0,Pax,VVC Wheel Park,operating
Formula Rossa,Steel,Sit Down,240,52,2000,0,Intamin,Ferrari World,operating
Formule 1,Steel,Sit Down,,15,380,0,Pax,Parc Saint Paul,operating
Formule X,Steel,Sit Down,70,15,300,2,Maurer,Drievliet Family Park,operating
Formuła,Steel,Sit Down,79,25,560,3,Vekoma,Energylandia,operating
Four Man Bob,Steel,Sit Down,,7,,0,Zierer,Pleasure Island,closed definitely
Frankie's Mine Train,Steel,Sit Down,,3,85,0,Zamperla,Great Escape,operating
Frankie's Mine,Steel,Sit Down,,,80,0,Zamperla,Frontier City,construction
Free Fall,Steel,Sit Down,100,27,50,0,Preston & Barbieri,Foire,operating
Freedom Flyer,Steel,Suspended,55,20,395,0,Vekoma,Fun Spot America,operating
Freestyle,na,Stand Up,82,27,673,,Togo,Cavallino Matto,operating
Freeway Coaster,Steel,Sit Down,,,,0,E&F Miler Industries,Adventure City (Anaheim),operating
Freischütz,Steel,Sit Down,80,24,460,3,Maurer,Bayern Park,operating
French Revolution,Steel,Sit Down,,,,1,Vekoma,Lotte World,operating
Frida,Steel,Sit Down,45,13,247,0,Vekoma,Energylandia,operating
Froschbahn,Steel,Sit Down,26,3,60,0,Zierer,Bayern Park,operating
Froschflitzer,Steel,Sit Down,36,8,360,0,Zierer,Serengeti Park,operating
Fruit Worm Coaster,na,Sit Down,,,,,na,Oriental Heritage Jinan,operating
Fruit Worm,Steel,Sit Down,18,,,0,Golden Horse,Sun Park,closed definitely
Fruitworm Train,na,Sit Down,,,,,Golden Horse,Heilongjiang Wanda Theme Park,operating
Frutti Loop Coaster,Steel,Sit Down,,,,,SBF,Energylandia,operating
Fuga da Atlantide,Steel,Water Coaster,60,17,700,0,Intamin,Gardaland,operating
Fujin Raijin II,Steel,Stand Up,75,43,1050,0,Togo,Expoland,closed definitely
Fujiyama,Steel,Sit Down,130,79,2045,0,Togo,Fuji-Q Highland,operating
Full Throttle,Steel,Sit Down,112,48,670,2,Premier Rides,Six Flags Magic Mountain,operating
Fun Express,Steel,Sit Down,,9,352,0,na,Spree-Park,closed definitely
Fun Pilot,Steel,Sit Down,40,10,190,0,Zierer,Walibi Belgium,operating
Fun4All,Steel,Spinning,,,,0,DAL,Foire,operating
Funny Mouse,Steel,Sit Down,,,,,na,Legendia,closed definitely
Funny Mouse,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Funtown Family Coaster,Steel,Sit Down,,,,0,E&F Miler Industries,Funtown Pier,closed definitely
Furio,Steel,Sit Down,,,,0,Soquet,Dennlys Parc,operating
Furius Baco,Steel,Wing,135,14,900,1,Intamin,Port Aventura,operating
Fury 325,Steel,Sit Down,153,99,2012,0,B&M,Carowinds,operating
Fury,Steel,Sit Down,106,43,600,4,Gerstlauer,Bobbejaanland,operating
G Force,Steel,Sit Down,70,25,385,3,Maurer,Drayton Manor,closed temporarily
G'sengte Sau,Steel,Sit Down,50,16,480,0,Gerstlauer,Tripsdrill,operating
Gadget's Go Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Disneyland,operating
Gadget's Go Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Tokyo Disneyland,operating
Galactica,Steel,Flying,75,20,840,3,B&M,Alton Towers,operating
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Blue Bayou Dixie Landin',operating
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Crystal Beach,closed definitely
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Fun Junction,closed definitely
Galaxia,Steel,Sit Down,,,,0,Barbisan,Wiener Prater,closed definitely
Galaxy Coaster,na,Sit Down,,,,,Beijing Jiuhua,Quancheng Euro Park,operating
Galaxy Express 999,Steel,Sit Down,55,,,1,Intamin,Aqua Stadium,operating
Galaxy Express,na,Sit Down,,,,,Vekoma,Fantawild Dreamland Zhengzhou,operating
Galaxy Express,na,Sit Down,75,19,453,,Vekoma,Oriental Heritage Xiamen,operating
Galaxy Orbiter,Steel,Spinning,,,,0,Gerstlauer,Galaxyland Amusement Park,operating
Galaxy Spin,Steel,Sit Down,47,13,420,0,Zamperla,Legoland Florida,closed definitely
GaleForce,Steel,Sit Down,103,38,387,0,S&S,Playland's Castaway Cove,operating
Gambit,Steel,Inverted,81,32,821,5,B&M,Thrill Valley,closed definitely
Gao,na,Sit Down,98,40,1664,,Meisho Amusement Machines,Greenland,operating
Garden Express,Steel,Sit Down,,,,0,na,Leolandia,closed definitely
Garuda Valley,na,Sit Down,,,,,Vekoma,Sun World Danang Wonders,operating
GateKeeper,Steel,Wing,108,52,1269,6,B&M,Cedar Point,operating
Gauntlet,Steel,Inverted,80,33,689,5,Vekoma,Magic Springs & Crystal Falls,operating
Gauntlet,Steel,Sit Down,,,,0,Pinfari,Camelot Theme Park,closed definitely
Gaz Express,Steel,Sit Down,60,12,400,0,Soquet,Bagatelle,operating
Gekion Live Coaster,Steel,Sit Down,,,,1,Gerstlauer,Joypolis,operating
Gemini (Blue),Hybrid,Sit Down,96,38,1200,0,Arrow,Cedar Point,operating
Gemini (Red),Hybrid,Sit Down,96,38,1200,0,Arrow,Cedar Point,operating
Georgia Cyclone,Wooden,Sit Down,81,29,905,0,Dinn Corp.,Six Flags Over Georgia,retracked
Georgia Scorcher,Steel,Stand Up,87,33,914,2,B&M,Six Flags Over Georgia,operating
Geyser,Steel,Sit Down,23,4,58,0,L&T Systems,Gulliverlandia,operating
Ghost Chasers,Steel,Sit Down,45,14,370,0,Mack,Movie Park Germany,operating
GhostRider,Wooden,Sit Down,90,36,1382,0,GCI,Knott's Berry Farm,operating
Ghoster Coaster,Wooden,Sit Down,56,13,413,0,Philadelphia Toboggan Coaster,Canada's Wonderland,operating
Giant Coaster,Steel,Sit Down,,18,801,0,T. M. Harton,Crystal Beach,closed definitely
Giant Dipper,Steel,Sit Down,89,21,805,0,na,Santa Cruz Beach Boardwalk,operating
Giant Dipper,Wooden,Sit Down,89,22,793,0,na,Belmont Park,operating
Giant Inverted Boomerang,Steel,Sit Down,106,58,367,3,Vekoma,Jin Jiang Action Park,operating
Giant Inverted Boomerang,na,Sit Down,106,58,365,3,Vekoma,Mirabilandia Paulista,announced
Gioco Farfalla,Steel,Sit Down,,6,,0,Heege Freizeittechnik,Cavallino Matto,closed definitely
Gipfel-Stürmer,Steel,Sit Down,,,,0,Gerstlauer,Freizeitpark Ruhpolding,operating
Girdap Sörfçüler,Steel,Sit Down,,10,200,1,Interpark,Wonderland Eurasia,construction
Gletscherblitz,na,Sit Down,45,,,0,Mack,Steinwasen Park,operating
Go Gator,Steel,Sit Down,,,,,Wisdom Rides,Flamingo Land Theme Park and Zoo,operating
Go Gator,na,Sit Down,,,,,Wisdom Rides,Clacton Pier,operating
Go Go Sneaker,na,Sit Down,20,,,,Togo,Rusutsu Resort,operating
Go! Go! Banana Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Japan Monkey Park,operating
Go-Gator,Steel,Sit Down,,,,0,na,Southport Pleasureland,unknown
Go-Gator,na,Sit Down,,,,,na,Coney Beach Pleasure Park,operating
Go-gator,na,Sit Down,,,,,Wisdom Rides,Clifton Park Amusements,operating
Godiståget,Steel,Sit Down,40,8,190,,Zierer,Kolmården,operating
Gold Digger,Steel,Sit Down,35,15,360,0,L&T Systems,Mirabilandia,operating
Gold Express,Steel,Sit Down,,,,0,S&MC,Foire,operating
Gold Mine Coaster,na,Sit Down,,,,,SBF,Farouk Land Annaba Parc,operating
Gold Mine,Steel,Sit Down,,,,0,Diamond Rides,Foire,operating
Gold Mine,na,Sit Down,,,,,na,PPS Park Platja d'Aro,operating
Gold Mine,na,Sit Down,,,,,na,Pavilion Fun Park,operating
Gold Rush Express,na,Sit Down,76,21,710,,Zamperla,Adlabs Imagica,operating
Gold Rush,Steel,Sit Down,,,,0,Chance Rides,Wild Adventures,closed definitely
Gold Rush,Steel,Sit Down,,,,0,na,Rainbow's End,operating
Gold Rush,Steel,Sit Down,45,13,523,0,na,Kijima Amusement Park,operating
Gold Rush,Steel,Sit Down,90,33,400,2,Gerstlauer,Attractiepark Slagharen,operating
Gold Rusher,Steel,Sit Down,,,,0,Gerstlauer,Tatzmania Löffingen,operating
Gold Rusher,Steel,Sit Down,56,21,790,0,Arrow,Six Flags Magic Mountain,operating
Gold Striker,Wooden,Sit Down,87,33,975,0,GCI,California's Great America,operating
Gold rush,Steel,Sit Down,,,,0,Gerstlauer,OK Corral,operating
Golden Dragon,na,Sit Down,,,,,na,City Park,operating
Golden Loop,Steel,Sit Down,92,42,263,1,Schwarzkopf,Gold Reef City,operating
Golden Whirlwind,na,Sit Down,69,23,495,3,Sameco,Fantawild Dreamland Wuhu,operating
Golden Wings in Snowfield,Steel,Inverted,88,36,671,4,Vekoma,Happy Valley Beijing,operating
Goldminen Express,Steel,Sit Down,,6,,0,Heege Freizeittechnik,Familienfreizeitpark Funny-World,operating
Goliath,Steel,Inverted,80,32,823,5,B&M,Six Flags Fiesta Texas,operating
Goliath,Steel,Sit Down,106,47,1214,0,Intamin,Walibi Holland,operating
Goliath,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags New England,operating
Goliath,Steel,Sit Down,110,53,1231,0,B&M,La Ronde,operating
Goliath,Steel,Sit Down,112,61,1365,0,B&M,Six Flags Over Georgia,operating
Goliath,Steel,Sit Down,137,71,1370,0,Giovanola,Six Flags Magic Mountain,operating
Goliath,Wooden,Sit Down,115,55,950,2,RMC,Six Flags Great America,operating
Goofy's Sky School,Steel,Sit Down,44,,,0,Mack,Disney California Adventure,operating
Gotham City Gauntlet: Escape from Arkham Asylum,Steel,Sit Down,45,15,370,0,Maurer,Six Flags New England,operating
Goudurix,Steel,Sit Down,75,37,950,7,Vekoma,Parc Asterix,operating
Goulis,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Grampus Jet,Steel,Suspended,,,,0,Vekoma,Greenland,operating
Gran Montserrat,Steel,Sit Down,66,20,815,0,Mack,Parque Espana-Shima Spain Village,operating
Grand 8 TGV,Steel,Sit Down,,,200,0,Soquet,Florida Parc,closed definitely
Grand 8,Steel,Sit Down,,,,0,Pinfari,Walibi Belgium,closed definitely
Grand Canyon,Steel,Sit Down,,,,0,Togo,Parc de la Vallée,operating
Grand Exposition Coaster,Steel,Sit Down,,,,0,Zamperla,Silver Dollar City,operating
Grand Huit Familial,Steel,Sit Down,,,,0,na,Parc Avenue,closed definitely
Grand Huit,Steel,Sit Down,,,,0,S.D.C.,Europark,closed definitely
Grand Huit,Steel,Sit Down,,,,0,S.D.C.,Mirapolis,closed definitely
Grand Huit,Steel,Sit Down,,,,0,na,Parc de Lillom,closed definitely
Grand Huit,Steel,Sit Down,,10,300,1,Interpark,Hannibal Park,operating
Grand Huit,Steel,Sit Down,50,11,335,0,Pinfari,Foire,operating
Grand National (Left),Steel,Sit Down,64,19,1006,0,Charles Paige,Blackpool Pleasure Beach,operating
Grand National (Right),Wooden,Sit Down,,,,0,na,Blackpool Pleasure Beach,operating
Grand Prix,Steel,Sit Down,,,,0,Zierer,Foire,operating
Gravity Max,Steel,Sit Down,90,35,568,1,Vekoma,Lihpao Land,operating
Great American Scream Machine,Steel,Sit Down,109,53,1158,7,Arrow,Six Flags Great Adventure,closed definitely
Great American Scream Machine,Wooden,Sit Down,92,32,1052,0,Philadelphia Toboggan Coaster,Six Flags Over Georgia,operating
Great Bear,Steel,Inverted,93,27,853,4,B&M,Hersheypark,operating
Great Chase,Steel,Sit Down,,,,0,E&F Miler Industries,Six Flags New England,operating
Great Chase,Steel,Sit Down,,3,85,0,Zamperla,Six Flags America,operating
Great Desert-Rally,Wooden,Sit Down,,31,1000,,GCI,Happy Valley Chengdu,operating
Great Lego Race,na,Sit Down,,,,,Mack,Legoland Malaysia,operating
Great Pumpkin Coaster,Steel,Sit Down,,,,0,Miler Coaster,Kings Dominion,operating
Great Pumpkin Coaster,Steel,Sit Down,,,61,0,Miler Coaster,Kings Island,operating
