name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Arashi,Steel,4th Dimension,61,37,311,0,S&S,Nagashima Spa Land,operating
Arctic Blast,Steel,Sit Down,,,,0,Mack,Ocean Park,operating
Arena Coaster,Steel,Alpine,,,1130,0,Wiegand,Zillertal Arena,operating
Arkansas Twister,Steel,Sit Down,,29,1018,0,Michael Black and Associates,Magic Springs & Crystal Falls,operating
Arkham Asylum: Shock Therapy,Steel,Inverted,80,33,765,5,Vekoma,Warner Bros. Movie World,operating
Arthur,Steel,Inverted,31,14,505,0,Mack,Europa Park,operating
Aska,Wooden,Sit Down,80,30,1081,0,Intamin,Nara Dreamland,closed definitely
Astro Storm,Steel,Sit Down,45,11,,0,Zierer,Brean Leisure Park,operating
Astropax 18,Steel,Sit Down,,,,1,Pax,VVC Wheel Park,operating
Atlantica SuperSplash,Steel,Water Coaster,80,30,390,0,Mack,Europa Park,operating
Atlantis Adventure,Steel,Water Coaster,75,22,670,0,Intamin,Lotte World,operating
Atlantis Spin,na,Spinning,35,11,325,0,Golden Horse,Bali Safari and Marine Park,operating
Atomic Coaster,Steel,Sit Down,80,38,265,1,Meisho Amusement Machines,Japan Monkey Park,closed definitely
Auto BergBahn,Wooden,Sit Down,,,,0,na,Wiener Prater,operating
Autosled,Steel,Sit Down,48,11,335,0,Zierer,Galaxyland Amusement Park,operating
Avalancha,Steel,Sit Down,85,36,790,8,Intamin,Xetulul,operating
Avalanche,Steel,Bobsleigh,,,,0,Mack,Kings Dominion,operating
Avalanche,Steel,Bobsleigh,50,20,455,0,Mack,Blackpool Pleasure Beach,operating
Avalanche,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Avalanche,Wooden,Sit Down,,27,725,0,S&S,Timber Falls Adventure Park,closed definitely
Avatar Airbender,Steel,Sit Down,,,,0,Intamin,Nickelodeon Universe,operating
Avonturenslang,Steel,Sit Down,32,6,99,0,Zierer,Avonturenpark Hellendoorn,closed definitely
Azteka,Steel,Sit Down,55,17,500,0,Soquet,Le Pal,operating
Aéronaval,Steel,Suspended,,,,0,na,Parc Avenue,closed definitely
BMRX,Steel,Sit Down,70,27,786,0,Schwarzkopf,Kobe Portopialand,closed definitely
Ba-a-a-Express,Steel,Sit Down,,,80,0,Mack,Europa Park,operating
Baby Aviator,Steel,Suspended,,,,0,na,Europark Idroscalo,operating
Baby Coaster,Steel,Sit Down,,,,0,na,Happy Valley Shenzhen,operating
Baby Pomme,Steel,Sit Down,,,,0,SBF,Babyland,operating
Baby Pomme,Steel,Sit Down,,,,0,na,Foire,operating
Back Lot Stunt Coaster,Steel,Sit Down,64,14,597,0,Premier Rides,Canada's Wonderland,operating
Back Lot Stunt Coaster,Steel,Sit Down,64,14,597,0,Premier Rides,Kings Dominion,operating
Backdraft,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Backety-Back Scenic Railway,Wooden,Sit Down,16,,,0,John H. Brown,Crystal Beach,closed definitely
Backlot Stunt Coaster,Steel,Sit Down,64,,,0,Premier Rides,Kings Island,operating
Backyardigans: Mission to Mars,Steel,Sit Down,35,9,207,0,Vekoma,Movie Park Germany,operating
Bad Trip,na,Spinning,33,11,310,0,Cedeal ride,Europark,operating
Balder,Wooden,Sit Down,90,36,1070,0,Intamin,Liseberg,operating
Bambo Coaster,Steel,Sit Down,,,,0,Soquet,Salitre Magico,operating
Banana Coaster,Steel,Sit Down,27,,131,0,Sansei Yusoki,Pleasure Garden,operating
Bandidos,Steel,Spinning,,,,0,SBF,La Mer de Sable,operating
Bandit Bomber,Steel,Inverted,50,23,515,0,Vekoma,Yas Waterworld,operating
Bandit,Steel,Sit Down,110,60,1560,0,Togo,Yomiuriland,operating
Bandit,Wooden,Sit Down,80,28,1099,0,RCCA,Movie Park Germany,operating
Banshee,Steel,Inverted,110,51,1260,7,B&M,Kings Island,operating
Banzai,Steel,Sit Down,100,36,,0,Troisne,Magic World,operating
Barnstormer,Steel,Sit Down,39,9,222,0,Zierer,Adventure Island,operating
Barnstormer,Steel,Sit Down,40,9,,0,Vekoma,Disney's Magic Kingdom,operating
Barnyard Barnstormer,Steel,Sit Down,,,,0,Zamperla,Nickelodeon Universe,operating
Baron 1898,Steel,Floorless,90,38,500,2,B&M,Efteling,operating
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Foire,operating
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Global Village,relocated
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Nigloland,relocated
Bat From Heaven,na,Suspended,,,,0,na,Water Park,operating
Bat Hatari: Perseguição em Gotham City,na,Sit Down,,,,0,Zamperla,Hopi Hari,operating
Bat coaster,Steel,Inverted,70,20,400,2,Pinfari,Antibesland,relocated
Bat,Steel,Sit Down,76,36,285,3,Vekoma,Canada's Wonderland,operating
Bat,Steel,Suspended,42,15,342,0,Vekoma,Lagoon,operating
Bat,Steel,Suspended,82,24,716,0,Arrow,Kings Island,operating
Batflyer,Steel,Suspended,36,,147,0,Caripro,Nasu Highland Park,operating
Batman And Robin: The Chiller,Steel,Sit Down,113,61,347,5,Premier Rides,Six Flags Great Adventure,closed definitely
Batman The Ride,Steel,Inverted,81,31,823,5,B&M,Six Flags Great America,operating
Batman The Ride,Steel,Inverted,81,32,821,5,B&M,Six Flags Great Adventure,operating
Batman The Ride,Steel,Inverted,81,32,821,5,B&M,Six Flags St Louis,operating
Batman The Ride,Steel,Inverted,81,32,823,5,B&M,Six Flags Over Georgia,operating
Batman the Ride,Steel,Inverted,80,32,823,5,B&M,Six Flags Magic Mountain,operating
Batman the Ride,Steel,Inverted,80,34,689,5,Vekoma,Six Flags Mexico,operating
Batman the Ride,Steel,Inverted,81,32,823,5,B&M,Six flags Over Texas,operating
Batman,Steel,Sit Down,,10,,0,Fabbri,Furuvik,relocated
Batman,Steel,Sit Down,,10,,0,Fabbri,Malmö Folkets Park,closed definitely
Batman,na,Sit Down,,,,,Fabbri,Tir Prince Family Funfair,operating
Batman: Arkham Asylum,Steel,Inverted,80,32,823,5,B&M,Parque Warner Madrid,operating
Batman: The Dark Knight,Steel,Floorless,89,36,793,5,B&M,Six Flags New England,operating
Batman: The Ride,Steel,4th Dimension,61,36,310,0,S&S,Six Flags Fiesta Texas,operating
Batman: The Ride,Steel,4th Dimension,61,37,310,0,S&S,Six Flags Discovery Kingdom,announced
Batman: The Ride,Steel,Inverted,80,32,823,5,B&M,Six Flags New Orleans,closed definitely
Battle of Blue Fire,Steel,Sit Down,100,38,1056,4,Mack,Quancheng Euro Park,operating
Battle of Jungle King (Dragon),Steel,Sit Down,,,,3,Golden Horse,Hefei Wanda Theme Park,operating
Battle of Jungle King (Tiger),Steel,Sit Down,,,,2,Golden Horse,Hefei Wanda Theme Park,operating
Batwing,Steel,Flying,81,35,1018,5,Vekoma,Six Flags America,operating
Bavarian Beetle,Steel,Sit Down,,18,244,0,S.D.C.,Kings Island,closed definitely
Bayern Express,Steel,Sit Down,43,,600,0,Soquet,Nigloland,relocated
Bayerwald-Coaster,Steel,Alpine,,,735,0,Wiegand,Egidi-Buckel Rodelparadies,operating
Bayside Coaster,Steel,Sit Down,,,,0,Meisho Amusement Machines,Onokoro,closed definitely
Bear Trax,Steel,Sit Down,,,,0,na,Seabreeze,unknown
Beast,Wooden,Sit Down,104,34,2243,0,Charlie Dinn,Kings Island,operating
Beastie,Steel,Sit Down,25,5,,0,Pinfari,Alton Towers,closed definitely
Beastie,Steel,Sit Down,60,14,457,0,Philadelphia Toboggan Coaster,Wonderland Sydney,closed definitely
Beaver Land Mine Ride,Steel,Sit Down,36,8,360,0,Zierer,Geauga Lake,closed definitely
Beehive Coaster,na,Sit Down,,,,,na,Dreamland,operating
Behemoth,Steel,Sit Down,124,70,1621,0,B&M,Canada's Wonderland,operating
Ben 10 Ultimate Mission,Steel,Sit Down,55,20,180,0,Vekoma,Drayton Manor,operating
Berg und Tal,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Big Adventure Coaster,na,na,,,,0,Senyo Kogyo,Adventure World,operating
Big Air,Steel,Sit Down,108,64,165,0,Vekoma,E-DA Theme Park,operating
Big Apple (Champetier),Steel,Sit Down,,,,0,Pinfari,Foire,operating
Big Apple (Naisse),Steel,Sit Down,,,,0,Pinfari,Foire,operating
Big Apple Coaster,Steel,Sit Down,108,62,1456,2,Togo,New York-New York Hotel & Casino,operating
Big Apple,Steel,Sit Down,,,,0,Pinfari,Blackpool Pleasure Beach,closed definitely
Big Apple,Steel,Sit Down,,,,0,Pinfari,Botton's Pleasure Beach,operating
Big Apple,Steel,Sit Down,,,,0,Pinfari,EsselWorld,operating
Big Apple,Steel,Sit Down,,,,0,Pinfari,Southport Pleasureland,closed definitely
Big Apple,Steel,Sit Down,,,,0,na,Codona's Amusement Park,operating
Big Apple,Steel,Sit Down,,,,0,na,Foire,operating
Big Apple,Steel,Sit Down,,,,0,na,Parc Avenue,closed definitely
Big Apple,na,Sit Down,,,,,D.P.V. Rides,The Milky Way Adventure Park,operating
Big Apple,na,Sit Down,,,,,Pinfari,Flamingo Park,closed temporarily
Big Apple,na,Sit Down,,,,,Pinfari,M&D Scotland's Theme Park,operating
Big Apple,na,Sit Down,,,,,na,Great Yarmouth Pleasure Beach,operating
Big Apple,na,Sit Down,,,,,na,Ocean Beach Pleasure Park,operating
Big Apple,na,Sit Down,,,,,na,Parc d'Attraction BBA,operating
Big Apple,na,Sit Down,,,,,na,West Sands Fun Fair,operating
Big Bad John,Steel,Sit Down,60,13,716,0,Arrow,Magic Springs & Crystal Falls,operating
Big Bad Wolf,Steel,Suspended,77,31,853,0,Arrow,Busch Gardens Williamsburg,closed definitely
Big Bang,Steel,Sit Down,65,22,530,0,Zierer,Freizeitpark Familienland,operating
Big Bend,Steel,Sit Down,84,25,877,0,Schwarzkopf,Six Flags St Louis,closed definitely
Big Bend,Steel,Sit Down,84,25,877,0,Schwarzkopf,Six flags Over Texas,closed definitely
Big Boom,Steel,Sit Down,88,38,650,1,Meisho Amusement Machines,Nasu Highland Park,operating
Big Coaster,Steel,Sit Down,,,,0,Pinfari,Wonderland Amusement Park,operating
Big Dipper,Steel,Sit Down,,,,0,National Amusement Devices,Camden Park,operating
Big Dipper,Steel,Sit Down,,,,0,na,Ocean Beach Amusement Park,unknown
Big Dipper,Steel,Sit Down,,5,,0,Chance Rides,Michigan's Adventure,operating
Big Dipper,Wooden,Sit Down,,18,1006,0,William Strickler,Blackpool Pleasure Beach,operating
Big Dipper,Wooden,Sit Down,52,20,817,0,John Miller,Geauga Lake,closed definitely
Big Grizzly Mountain Runaway Mine Cars,Steel,Sit Down,56,,1100,0,Vekoma,Hong Kong Disneyland,operating
Big Loop,Steel,Sit Down,63,30,706,4,Vekoma,Heide Park,operating
Big One,Steel,Sit Down,120,65,1675,0,Arrow,Blackpool Pleasure Beach,operating
Big Roller Coaster,Steel,Sit Down,,14,460,0,Mondial,Foire,operating
Big Squale,Steel,Sit Down,30,3,100,0,Zamperla,Foire,operating
Big Thunder Mountain Railroad,Steel,Sit Down,45,,814,0,Walt Disney Imagineering,Disneyland,operating
Big Thunder Mountain Railroad,Steel,Sit Down,58,,847,0,Arrow,Disney's Magic Kingdom,operating
Big Thunder Mountain,Steel,Sit Down,60,,,0,Vekoma,Tokyo Disneyland,operating
Big Thunder Mountain,Steel,Sit Down,60,22,1500,0,Vekoma,Disneyland Park,operating
Big Whirl Wind,Steel,Sit Down,87,,983,0,Schwarzkopf,Wonder Island,operating
Bisvaermen,na,Spinning,,,,,SBF,Tivoli Friheden,operating
Bizarro,Steel,Floorless,98,43,1214,7,B&M,Six Flags Great Adventure,operating
Black Diamond,Steel,Sit Down,,11,,0,Philadelphia Toboggan Coaster,Knoebels,operating
Black Hole 2000,na,Sit Down,85,35,974,2,na,Seoul Land,operating
Black Hole Coaster,Steel,Sit Down,,,,,Vekoma,Dream World,operating
Black Hole Scramble,Steel,Sit Down,,,,0,Nippon,Space World,closed definitely
Black Hole,Steel,Sit Down,,,,0,Zierer,Foire,operating
Black Hole,Steel,Sit Down,65,14,585,0,Schwarzkopf,Alton Towers,closed definitely
Black Mamba,Steel,Inverted,80,26,,4,B&M,Phantasialand,operating
Blackhole Coaster,na,Sit Down,,,400,,Zamperla,Greenland,operating
Blauer Enzian,Steel,Sit Down,,,,0,Mack,Freizeit-Land Geiselwind,operating
Blauer Enzian,Steel,Sit Down,36,4,250,0,Mack,Toshimaen,operating
Blazing Fury,Steel,Sit Down,,,,0,na,Dollywood,operating
Blizzard,Steel,Sit Down,,,,0,Cavazza Diego,Legendia,closed definitely
Blue Fire,Steel,Sit Down,100,38,1056,4,Mack,Europa Park,operating
Blue Flyer,Steel,Sit Down,,,700,0,Charles Paige,Blackpool Pleasure Beach,operating
Blue Harvest,Steel,Inverted,100,34,,0,B&M,Gröna Lund,announced
Blue Hawk,Steel,Sit Down,84,37,836,5,Vekoma,Six Flags Over Georgia,operating
Blue Streak Racer,Steel,Sit Down,,18,1067,0,na,Pacific Park,closed definitely
Blue Streak,Wooden,Sit Down,64,24,780,0,Philadelphia Toboggan Coaster,Cedar Point,operating
Blue Streak,Wooden,na,,,883,0,na,Conneaut Lake Park,operating
Blue Tornado,Steel,Inverted,80,33,765,5,Vekoma,Gardaland,operating
Boardwalk Bullet,Wooden,Sit Down,82,29,986,0,Gravity Group,Kemah Boardwalk,operating
Bob Express,Steel,Sit Down,36,10,521,0,Mack,Bobbejaanland,operating
Bobbaan,Steel,Bobsleigh,60,20,524,0,Intamin,Efteling,operating
Bobkart,Steel,Sit Down,40,,822,0,na,Nagashima Spa Land,operating
Bobovka,na,Alpine,,,775,0,Wiegand,Bobovka u mlýna,operating
Bobová Dráha,na,Alpine,,,965,0,Wiegand,Heipark,operating
Bobsleds,Steel,Sit Down,,,,0,na,Seabreeze,unknown
Bobsleigh,Steel,Sit Down,65,15,450,0,Schwarzkopf,Parc de la Vallée,operating
Bocasse Express,Steel,Sit Down,,,,0,Soquet,Parc du Bocasse,closed definitely
Bombo,Steel,Sit Down,46,13,335,0,Vekoma,Rainbow MagicLand,operating
